,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0,PA14_11510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PA14_18210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PA14_06160,PA14_19320,PA14_26340,PA14_26360,PA14_26750,PA14_32780,PA14_35020,PA14_42910,PA14_43220,PA14_46000,PA14_51120,PA14_72130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PA14_04810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PA14_70810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PA14_57560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,87160038|SAUSA300_0509|SAUSA300_0509|,87160155|SAUSA300_2203|SAUSA300_2203|,87160460|SAUSA300_1330|SAUSA300_1330|,87160672|SAUSA300_1149|SAUSA300_1149|,87161531|SAUSA300_0478|SAUSA300_0478|,87161686|SAUSA300_2315|SAUSA300_2315|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,87159917|SAUSA300_2278|SAUSA300_2278|,87160171|SAUSA300_2343|SAUSA300_2343|,87160234|SAUSA300_0190|SAUSA300_0190|,87160358|SAUSA300_2533|SAUSA300_2533|,87160384|SAUSA300_0822|SAUSA300_0822|,87160440|SAUSA300_0727|SAUSA300_0727|,87160499|SAUSA300_2554|SAUSA300_2554|,87160502|SAUSA300_0569|SAUSA300_0569|,87160559|SAUSA300_1882|SAUSA300_1882|,87160563|SAUSA300_0551|SAUSA300_0551|,87160616|SAUSA300_0713|SAUSA300_0713|,87160628|SAUSA300_2281|SAUSA300_2281|,87160664|SAUSA300_2422|SAUSA300_2422|,87160762|SAUSA300_1611|SAUSA300_1611|,87160863|SAUSA300_1331|SAUSA300_1331|,87160865|SAUSA300_1077|SAUSA300_1077|,87160876|SAUSA300_0017|SAUSA300_0017|,87160934|SAUSA300_1983|SAUSA300_1983|,87160940|SAUSA300_0570|SAUSA300_0570|,87160941|SAUSA300_1358|SAUSA300_1358|,87160962|SAUSA300_1704|SAUSA300_1704|,87161053|SAUSA300_0873|SAUSA300_0873|,87161061|SAUSA300_1459|SAUSA300_1459|,87161124|SAUSA300_1641|SAUSA300_1641|,87161209|SAUSA300_2234|SAUSA300_2234|,87161271|SAUSA300_1683|SAUSA300_1683|,87161291|SAUSA300_0919|SAUSA300_0919|,87161300|SAUSA300_0819|SAUSA300_0819|,87161301|SAUSA300_1239|SAUSA300_1239|,87161310|SAUSA300_1094|SAUSA300_1094|,87161324|SAUSA300_0686|SAUSA300_0686|,87161326|SAUSA300_1648|SAUSA300_1648|,87161418|SAUSA300_1087|SAUSA300_1087|,87161444|SAUSA300_0902|SAUSA300_0902|,87161450|SAUSA300_0948|SAUSA300_0948|,87161490|SAUSA300_0594|SAUSA300_0594|,87161566|SAUSA300_0235|SAUSA300_0235|,87161627|SAUSA300_1278|SAUSA300_1278|,87161659|SAUSA300_1172|SAUSA300_1172|,87161665|SAUSA300_2537|SAUSA300_2537|,87161736|SAUSA300_1093|SAUSA300_1093|,87161756|SAUSA300_1525|SAUSA300_1525|,87161826|SAUSA300_1860|SAUSA300_1860|,87161862|SAUSA300_0820|SAUSA300_0820|,87161889|SAUSA300_1354|SAUSA300_1354|,87161893|SAUSA300_1916|SAUSA300_1916|,87161997|SAUSA300_1349|SAUSA300_1349|,87162006|SAUSA300_1290|SAUSA300_1290|,87162035|SAUSA300_1675|SAUSA300_1675|,87162059|SAUSA300_1669|SAUSA300_1669|,87162076|SAUSA300_0340|SAUSA300_0340|,87162101|SAUSA300_2068|SAUSA300_2068|,87162108|SAUSA300_2275|SAUSA300_2275|,87162156|SAUSA300_1731|SAUSA300_1731|,87162164|SAUSA300_0129|SAUSA300_0129|,87162294|SAUSA300_0966|SAUSA300_0966|,87162364|SAUSA300_2362|SAUSA300_2362|,87162372|SAUSA300_1880|SAUSA300_1880|,87162393|SAUSA300_1467|SAUSA300_1467|,87162404|SAUSA300_1579|SAUSA300_1579|,87162420|SAUSA300_0576|SAUSA300_0576|,PA14_03130,PA14_72880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PA14_28000,PA14_45780,PA14_46340,PA14_53490,PA14_58550,PA14_63570,PA14_70850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PA14_03840,PA14_12760,PA14_22550,PA14_33220,PA14_53120,PA14_59790,PA14_63310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PA14_06190,PA14_38690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PA14_06990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,162138569|SAUSA300_2645|SAUSA300_2645|,87159950|SAUSA300_0839|SAUSA300_0839|,87160100|SAUSA300_0767|SAUSA300_0767|,87160482|SAUSA300_0840|SAUSA300_0840|,87161057|SAUSA300_0589|SAUSA300_0589|,87161103|SAUSA300_1853|SAUSA300_1853|,87161221|SAUSA300_0931|SAUSA300_0931|,87161356|SAUSA300_1130|SAUSA300_1130|,87161600|SAUSA300_1090|SAUSA300_1090|,87161601|SAUSA300_1303|SAUSA300_1303|,87161666|SAUSA300_0971|SAUSA300_0971|,87161843|SAUSA300_0113|SAUSA300_0113|,87162043|SAUSA300_2100|SAUSA300_2100|,87162077|SAUSA300_1341|SAUSA300_1341|,87162258|SAUSA300_2142|SAUSA300_2142|,87162302|SAUSA300_2474|SAUSA300_2474|,87162310|SAUSA300_1441|SAUSA300_1441|,87162356|SAUSA300_1790|SAUSA300_1790|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PA14_05020,PA14_09780,PA14_23770,PA14_43180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,87160250|SAUSA300_0003|SAUSA300_0003|,87160710|SAUSA300_1682|SAUSA300_1682|,87161370|SAUSA300_2074|SAUSA300_2074|,87161831|SAUSA300_2486|SAUSA300_2486|,87162122|SAUSA300_1595|SAUSA300_1595|,PA14_28880,PA14_49630,PA14_61530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PA14_13150,PA14_14460,PA14_16790,PA14_17230,PA14_17640,PA14_25590,PA14_30840,PA14_34030,PA14_35810,PA14_39390,PA14_50890,PA14_57470,PA14_66610,PA14_68060,PA14_71000,PA14_72720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PA14_70860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PA14_44470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PA14_08730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PA14_36090,PA14_36350,PA14_53620,PA14_59180,PA14_70780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PA14_53070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PA14_23220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PA14_31990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PA14_62260,PA14_65420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
