	Gene Name	Protein name	Product Description	Evidence Ontology Term	GO Term
PA14_00010	dnaA	ATP binding	chromosomal replication initiation protein	match to InterPro signature evidence used in automatic assertion	ATP binding; DNA replication initiation; regulation of DNA replication; sequence-specific DNA binding; DNA binding; DNA replication origin binding
PA14_00020	dnaN	DNA polymerase III subunit beta (EC 2.7.7.7)	DNA polymerase III subunit beta	match to InterPro signature evidence used in automatic assertion	DNA binding; DNA-directed DNA polymerase activity; DNA replication; 3'-5' exonuclease activity; DNA polymerase III complex
PA14_00030	recF	single-stranded DNA binding	recombination protein F	match to InterPro signature evidence used in automatic assertion	single-stranded DNA binding; ATP binding; DNA repair
PA14_00050	gyrB	DNA gyrase subunit B (EC 5.99.1.3)	DNA gyrase subunit B	match to InterPro signature evidence used in automatic assertion	DNA binding; DNA topoisomerase type II (ATP-hydrolyzing) activity; ATP binding; DNA topological change; chromosome
PA14_00060	PA14_00060	Putative acyltransferase	acyltransferase	sequence similarity evidence used in automatic assertion	phospholipid biosynthetic process; lysophosphatidic acid acyltransferase activity; metabolic process; transferase activity, transferring acyl groups
PA14_00070	PA14_00070	D,D-heptose 1,7-bisphosphate phosphatase (EC 3.1.3.-)	D,D-heptose 1,7-bisphosphate phosphatase	match to InterPro signature evidence used in automatic assertion	phosphatase activity; carbohydrate metabolic process
PA14_00080	PA14_00080	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	electron carrier activity; heme binding
PA14_00090	glyS	nucleotide binding	glycyl-tRNA synthetase subunit beta	match to InterPro signature evidence used in automatic assertion	nucleotide binding; glycine-tRNA ligase activity; ATP binding; cytoplasm; glycyl-tRNA aminoacylation; arginine-tRNA ligase activity; arginyl-tRNA aminoacylation
PA14_00100	glyQ	nucleotide binding	glycyl-tRNA synthetase subunit alpha	match to InterPro signature evidence used in automatic assertion	nucleotide binding; glycine-tRNA ligase activity; ATP binding; cytoplasm; glycyl-tRNA aminoacylation
PA14_00110	tag	DNA-3-methyladenine glycosidase I	DNA-3-methyladenine glycosidase I	match to InterPro signature evidence used in automatic assertion	catalytic activity; DNA repair; base-excision repair; DNA-3-methyladenine glycosylase activity
PA14_00120	PA14_00120	Putative 2-OH-lauroyltransferase	lipid A biosynthesis lauroyl acyltransferase	sequence similarity evidence used in automatic assertion	cellular response to antibiotic; cellular response to osmotic stress; cellular response to heat; lipopolysaccharide core region biosynthetic process; integral component of membrane; transferase activity, transferring acyl groups
PA14_00130	PA14_00130	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	cyclic-di-GMP binding
PA14_00160	PA14_00160	Putative tetratricopeptide repeat domain	hypothetical protein	match to InterPro signature evidence used in automatic assertion	protein binding
PA14_00170	trkA	Potassium uptake protein TrkA	potassium transporter peripheral membrane protein	match to InterPro signature evidence used in automatic assertion	potassium ion transport; cation transmembrane transporter activity; plasma membrane; potassium ion transmembrane transporter activity
PA14_00180	sun	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-)	tRNA and rRNA cytosine-C5-methylases	match to InterPro signature evidence used in automatic assertion	RNA binding; regulation of transcription, DNA-templated; methyltransferase activity; rRNA processing; rRNA methyltransferase activity
PA14_00190	fmt	regulation of transmembrane transporter activity	methionyl-tRNA formyltransferase	sequence similarity evidence used in automatic assertion	regulation of transmembrane transporter activity; biosynthetic process; hydroxymethyl-, formyl- and related transferase activity; methionyl-tRNA formyltransferase activity; conversion of methionyl-tRNA to N-formyl-methionyl-tRNA; methyltransferase activity; catalytic activity
PA14_00200	def	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	peptide deformylase	match to InterPro signature evidence used in automatic assertion	iron ion binding; peptide deformylase activity
PA14_00210	PA14_00210				
PA14_00230	smf	Putative Rossmann fold nucleotide-binding protein	Rossmann fold nucleotide-binding protein	match to InterPro signature evidence used in automatic assertion	DNA mediated transformation
PA14_00240	PA14_00240	ATP binding	hypothetical protein	match to InterPro signature evidence used in automatic assertion	ATP binding; threonylcarbamoyladenosine biosynthetic process; double-stranded RNA binding
PA14_00250	qor	Quinone oxidoreductase	quinone oxidoreductase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process; zinc ion binding
PA14_00280	hemF	coproporphyrinogen oxidase activity	coproporphyrinogen III oxidase	sequence similarity evidence used in automatic assertion	coproporphyrinogen oxidase activity
PA14_00290	aroE	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	shikimate 5-dehydrogenase	match to InterPro signature evidence used in automatic assertion	shikimate 3-dehydrogenase (NADP+) activity; oxidation-reduction process; shikimate metabolic process; NADP binding
PA14_00300	plcB	Phospholipase C, PlcB	phospholipase C, PlcB	sequence similarity evidence used in automatic assertion	phospholipase C activity; chemotaxis; hydrolase activity, acting on ester bonds
PA14_00310	PA14_00310	Putative peptidyl-prolyl isomerase	peptidyl-prolyl isomerase	match to InterPro signature evidence used in automatic assertion	isomerase activity
PA14_00340	PA14_00340	Putative sulfate permease	sulfate transporter	match to InterPro signature evidence used in automatic assertion	sulfate transport; sulfate transmembrane transporter activity; integral component of membrane
PA14_00360	PA14_00360	Putative glycine betaine/L-proline ABC transporter, periplasmic substrate-binding protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	choline transport; choline binding; periplasmic space; transporter activity; transport
PA14_00380	betC	Choline sulfatase	choline sulfatase	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process; sulfuric ester hydrolase activity
PA14_00400	PA14_00400	Putative transcriptional regulator, LysR family	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_00420	PA14_00420	Putative histidine phosphotransfer domain	histidine phosphotransfer domain-containing protein	match to InterPro signature evidence used in automatic assertion	phosphorelay signal transduction system; signal transducer activity
PA14_00430	bvga	Putative two-component response regulator	two-component response regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; phosphorelay signal transduction system; DNA binding
PA14_00440	trpA	tryptophan biosynthetic process	tryptophan synthase subunit alpha	sequence similarity evidence used in automatic assertion	tryptophan biosynthetic process; catalytic activity; metabolic process; tryptophan synthase activity; tryptophan metabolic process
PA14_00450	trpB	Tryptophan synthase beta chain (EC 4.2.1.20)	tryptophan synthase subunit beta	match to InterPro signature evidence used in automatic assertion	tryptophan synthase activity; tryptophan metabolic process; tryptophan biosynthetic process
PA14_00460	trpI	TrpBA operon transcriptional activator	transcriptional regulator TrpI	sequence similarity evidence used in automatic assertion	regulation of transcription, DNA-templated; positive regulation of cellular amino acid biosynthetic process; sequence-specific DNA binding transcription factor activity
PA14_00480	PA14_00480				
PA14_00490	PA14_00490	Putative hemolysin activation/secretion protein	hemolysin activation/secretion protein	match to InterPro signature evidence used in automatic assertion	protein transport
PA14_00510	PA14_00510				
PA14_00550	PA14_00550	Putative membrane protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	membrane
PA14_00560	exoT	Exoenzyme T	exoenzyme T	match to InterPro signature evidence used in automatic assertion	extracellular region; pathogenesis; GTPase activator activity
